yy;mm;dd;BAR;BIC;BOR;BGG;BRU;CAP;CER;CHI;CIV;COD;ENE;FOS;GEM;GRA;GRD;LAU;LIG;MNF;PAL;POR;PRD;SPN;SAN;TAL;TAR;TRI;UDI;VIV;FAE
1915;5;11;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA
1915;5;12;NA;NA;NA;NA;NA;NA;NA;NA;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA
1915;5;13;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.8;NA;NA
1915;5;14;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA
1915;5;15;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;NA;NA
1915;5;16;NA;NA;NA;NA;NA;NA;NA;NA;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA
1915;5;17;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2;NA;NA
1915;5;18;NA;NA;NA;NA;NA;NA;NA;NA;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.1;NA;NA
1915;5;19;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;NA;NA
1915;5;20;NA;NA;NA;NA;NA;NA;NA;NA;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;NA;NA
1915;5;21;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3;NA;NA
1915;5;22;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA
1915;5;23;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA
1915;5;24;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA
