SiteID;SiteName;SiteCode;FullSiteCode;Elevation;State;County;Comments;Elevation_dem;Longitude;Latitude;codice
405;Rupa ponte ss 55;N700;OD:N700;NA;NA;FVG;NA;57.845272064209;13.5875;45.8897;NA
406;Gorizia aeroporto di merna;N701;OD:N701;NA;NA;FVG;NA;58.0459136962891;13.5967;45.9112;NA
407;Savogna d'isonzo ponte ferrovia;N703;OD:N703;NA;NA;FVG;NA;46.7377853393555;13.57;45.8987;NA
408;Savogna d'isonzo ponte sp 8;N704;OD:N704;NA;NA;FVG;NA;46.7377853393555;13.5686;45.9005;NA
409;Monfalcone;P001;OD:P001;NA;NA;FVG;NA;4.99721717834473;13.5371;45.8068;NA
410;Alberoni idrovora sacchetti;P002;OD:P002;NA;NA;FVG;Serie HisCentral +Regione FVG;-0.00922922976315;13.5131;45.7779;MNF
411;Monfalcone piscina comunale;P005;OD:P005;NA;NA;FVG;NA;0.913607537746429;13.5115;45.7965;NA
412;Doberdo' centro visite gradina;R001;OD:R001;NA;NA;FVG;NA;60.0813407897949;13.5472;45.843;NA
413;San pelagio;R100;OD:R100;NA;NA;FVG;NA;234.583068847656;13.6868;45.7655;NA
414;Prosecco eliporto;R101;OD:R101;NA;NA;FVG;NA;273.676849365234;13.7576;45.7031;NA
415;Borgo grotta gigante;R102;OD:R102;NA;NA;FVG;Serie HisCentral +Regione FVG;274.729644775391;13.7644;45.7094;BGG
416;Opicina;R103;OD:R103;NA;NA;FVG;NA;331.486938476562;13.7914;45.6842;NA
